EngineCoolantTemperature;EngineLoad;RPM;IntakeManifoldPressure;MassAirFlow;IntakeAirTemperature;Speed;ShortTermFuelTrimBank1;ThrottlePosition;TimingAdvance
83;40,8;757;32;4,23;33;2;0;20,4;0,612
83;37,3;793;31;4,22;33;0;0,023;20;0,529
83;38;800;30;4,13;33;0;0,039;20,4;0,576
83;34,9;806;33;4,11;33;0;0,039;20;0,584
83;39,2;789;31;4,21;33;0;-0,016;20;0,565
84;34,1;812;31;4,11;34;0;-0,023;20;0,576
84;36,5;810;31;4,1;34;0;-0,023;20,4;0,561
84;35,3;802;32;4,21;34;0;0,023;20;0,576
84;34,9;809;33;3,8;34;0;0,023;20;0,557
84;36,9;806;31;3,99;34;0;0,023;20;0,553
84;34,5;816;32;4,24;34;0;0,039;20;0,588
84;38,4;796;51;3,96;34;2;-0,023;20;0,58
84;64,3;1065;32;9,78;33;11;0,023;28,6;0,514
84;55,7;1260;21;10,06;33;11;-0,031;28,2;0,635
85;30,6;815;34;3,5;33;2;0,039;19,6;0,624
85;43,1;776;37;4,39;33;6;0,031;20,8;0,518
85;28,6;841;36;6,18;33;11;-0,039;26,3;0,643
86;13,3;1469;32;3,15;33;6;0,086;20;0,749
86;38;776;32;4,27;34;0;-0,055;20,4;0,541
86;36,5;803;34;4,05;34;0;-0,047;20,4;0,569
87;35,7;805;32;4,17;34;0;-0,023;20,4;0,592
87;35,3;812;33;4,19;34;0;0,016;20,4;0,561
88;38,8;794;34;4,11;34;0;0,016;20,4;0,561
88;37,3;796;32;4,06;34;0;0,016;20,4;0,573
88;37,6;792;31;3,72;34;0;0,023;20;0,576
89;34,5;809;31;3,93;34;0;0,023;20;0,573
89;35,7;803;32;3,91;34;0;0,023;20;0,569
89;36,5;794;31;4,05;34;0;0,039;20,4;0,571
90;35,3;791;31;4,03;34;0;0,039;20;0,573
90;36,5;794;33;4,03;34;0;0,039;20,4;0,553
90;34,1;799;32;3,86;34;0;0,039;20;0,596
91;35,7;795;30;4,23;34;0;-0,023;20;0,588
91;36,9;802;32;3,87;34;0;0,039;20;0,565
91;35,7;783;32;4,04;34;0;0,023;20;0,557
92;35,3;813;36;4;34;0;0,023;20,4;0,573
92;60,8;717;49;6,02;33;14;-0,047;25,1;0,592
92;21,6;1508;19;9,76;33;15;-0,016;25,5;0,655
93;19,2;1168;32;3,78;33;13;0,031;18,8;0,6355
93;31,8;795;32;3,64;34;1;-0,023;19,6;0,616
93;35,7;802;32;3,93;34;0;-0,016;20,4;0,596
94;34,5;808;30;3,97;34;0;0,023;20;0,553
94;35,3;801;31;3,83;35;0;-0,016;20;0,573
94;37,6;796;33;4;35;0;-0,016;20;0,573
94;36,5;791;33;3,76;35;0;-0,023;20;0,584
94;37,6;793;30;4,2;35;0;0,023;20,4;0,576
94;35,3;793;33;3,85;35;0;0,023;20;0,573
95;37,3;791;30;4,02;35;0;-0,016;20,4;0,557
95;34,1;810;33;4,02;35;0;0,039;20;0,604
95;36,5;799;31;3,86;35;0;-0,008;20;0,58
95;33,7;788;32;3,88;35;0;-0,008;20;0,596
96;34,5;802;31;3,95;35;0;-0,016;20;0,584
96;34,9;803;31;3,85;35;0;-0,016;20;0,596
96;36,5;804;33;4,08;35;0;-0,016;20;0,573
97;34,9;816;31;4;35;0;-0,016;20;0,588
97;36,1;799;31;4,03;35;0;-0,016;20;0,592
